,name,longitude,latitude,temp_min,temp_max,humidity,wind,cloudiness,sunrise,sunset
0,Butaritari,172.7902,3.0707,81.23,81.23,76,11.59,23,1634753537,1634796867
1,Arraial do Cabo,-42.0278,-22.9661,62.56,62.56,100,3.44,75,1634717465,1634763259
2,Iqaluit,-68.5145,63.7506,31.69,31.73,80,5.99,90,1634729913,1634763523
3,Kapaa,-159.319,22.0752,80.92,84.18,65,1.99,1,1634747731,1634789287
4,Cape Town,18.4232,-33.9258,60.35,62.11,71,1.01,0,1634788639,1634835853
5,New Bern,-77.0441,35.1085,55.44,71.98,83,0.0,1,1634728710,1634768820
6,Bethel,-73.414,41.3712,55.99,67.66,76,4.61,40,1634728271,1634767517
7,Souillac,57.5167,-20.5167,71.37,71.98,88,6.91,40,1634780073,1634825656
8,Biltine,20.9167,14.5333,85.98,85.98,19,11.83,98,1634790514,1634832780
9,Tuktoyaktuk,-133.0374,69.4541,24.8,24.8,93,5.75,40,1634747089,1634777315
10,Tezu,96.1667,27.9167,72.05,72.05,99,1.79,100,1634773134,1634814045
11,Punta Arenas,-70.9167,-53.15,42.82,44.71,61,11.5,20,1634721916,1634772673
12,St. George's,-61.7485,12.0564,78.48,78.48,89,11.5,20,1634723830,1634766359
13,Tigil',158.6667,57.8,22.59,22.59,70,9.57,59,1634760747,1634796435
14,Port Hardy,-127.4199,50.6996,51.8,55.58,82,6.91,75,1634742078,1634779630
15,Khatanga,102.5,71.9667,24.58,24.58,97,4.76,100,1634778163,1634805976
16,Mahébourg,57.7,-20.4081,71.26,71.89,88,6.91,40,1634780035,1634825606
17,Baykit,96.37,61.67,34.63,34.63,90,3.85,100,1634776397,1634810685
18,Avarua,-159.775,-21.2078,78.85,78.85,61,8.05,40,1634745804,1634791433
19,Aklavik,-135.0107,68.2191,27.43,29.12,82,7.23,99,1634747127,1634778224
20,Rikitea,-134.9692,-23.1203,74.64,74.64,69,21.18,20,1634739750,1634785581
21,Busselton,115.3333,-33.65,59.09,60.04,68,15.61,93,1634765418,1634812562
22,Ust'-Omchug,149.6333,61.15,-7.31,-7.31,87,2.51,15,1634763489,1634798029
23,Tasiilaq,-37.6368,65.6145,50.16,50.16,43,10.27,66,1634722935,1634755682
24,Mataura,168.8643,-46.1927,56.01,56.01,43,2.01,83,1634751545,1634800743
25,Thompson,-97.8558,55.7435,28.56,28.56,59,4.61,75,1634735579,1634771940
26,Severo-Kuril'sk,156.125,50.6789,36.82,36.82,63,21.65,76,1634760446,1634797956
27,Ushuaia,-68.3,-54.8,46.02,47.86,40,13.8,20,1634721054,1634772279
28,East London,27.9116,-33.0153,62.26,62.26,82,11.52,65,1634786426,1634833512
29,Pevek,170.3133,69.7008,18.28,18.28,92,12.93,100,1634760820,1634790772
30,Havre-St-Pierre,-63.5986,50.2334,46.76,48.2,81,4.61,90,1634726694,1634764383
31,Damietta,31.8133,31.4165,70.77,70.77,60,7.99,11,1634788789,1634829276
32,Saskylakh,114.0833,71.9167,12.04,12.04,96,5.37,100,1634775348,1634803232
33,Cockburn Town,-71.1419,21.4612,82.36,82.36,78,17.09,34,1634726531,1634768166
34,New Norfolk,147.0587,-42.7826,62.74,67.66,46,3.0,100,1634757097,1634805656
35,Jining,116.5814,35.405,55.0,55.0,1,4.14,100,1634768683,1634808698
36,Saint-Pierre,55.4781,-21.3393,66.18,71.28,65,6.91,90,1634780518,1634826189
37,Bambous Virieux,57.7575,-20.3428,71.22,71.85,88,6.91,40,1634780025,1634825588
38,Qaanaaq,-69.3632,77.484,12.31,12.31,93,2.91,91,1634737301,1634756543
39,Vila,-8.1588,42.0304,49.75,51.33,93,3.2,81,1634799118,1634838131
40,Alyangula,136.4192,-13.8483,85.23,85.23,63,11.99,59,1634761484,1634806375
41,Lebu,-73.65,-37.6167,53.22,53.22,85,5.55,84,1634724125,1634771776
42,Upernavik,-56.1549,72.7868,32.61,32.61,99,10.36,100,1634730101,1634757404
43,Port-Gentil,8.7815,-0.7193,77.68,77.68,85,11.92,100,1634792724,1634836395
44,Grand Gaube,57.6608,-20.0064,71.38,72.0,77,1.99,46,1634780066,1634825594
45,Klaksvík,-6.589,62.2266,41.92,41.92,63,33.44,92,1634801267,1634835230
46,Puerto Ayora,-90.3518,-0.7393,70.12,70.12,87,8.12,100,1634730123,1634773794
47,George Town,100.3354,5.4112,76.89,76.95,91,4.61,20,1634771031,1634814147
48,Hithadhoo,73.0833,-0.6,81.57,81.57,73,9.66,100,1634777299,1634820959
49,Almendralejo,-6.4075,38.6832,60.39,62.28,86,3.0,0,1634798445,1634837964
50,Albany,-73.9662,42.6001,55.47,64.98,64,5.26,75,1634728498,1634767554
51,Havøysund,24.6622,70.9963,29.28,29.28,61,28.79,100,1634796436,1634825061
52,Port Hedland,118.5667,-20.3167,84.25,84.25,23,13.8,1,1634765439,1634810989
53,Nyazepetrovsk,59.6028,56.0531,30.18,30.18,87,9.13,100,1634784302,1634820426
54,Mar del Plata,-57.5575,-38.0023,55.99,61.09,46,1.99,0,1634720237,1634767941
55,Chui,-53.4616,-33.6971,57.04,57.04,75,9.13,63,1634719563,1634766649
56,Leningradskiy,178.4167,69.3833,26.15,26.15,96,15.82,100,1634758748,1634788955
57,Barra do Corda,-45.25,-5.5,79.2,79.2,74,3.51,74,1634719087,1634763183
58,Airai,125.4092,-8.9266,74.48,74.48,43,1.92,72,1634764361,1634808783
59,Saint-Philippe,55.7679,-21.3585,66.11,71.19,77,9.26,31,1634780448,1634826121
60,Yellowknife,-114.3525,62.456,40.28,42.42,79,11.5,20,1634740659,1634774777
61,Aswān,32.907,24.0934,74.3,74.3,36,17.05,0,1634788114,1634829426
62,Broken Hill,141.4333,-31.95,76.5,76.5,22,13.24,46,1634759273,1634806180
63,Akşehir,31.4164,38.3575,46.74,46.74,68,3.94,0,1634789337,1634828918
64,Jamestown,-79.2353,42.097,48.09,60.33,67,6.91,90,1634729725,1634768857
65,Hualmay,-77.6139,-11.0964,64.4,64.4,83,10.51,62,1634726596,1634771208
66,Jiquilpan,-103.7768,19.7798,71.96,71.96,87,2.68,24,1634734283,1634776078
